2016-05-05 23:21:25,237 |main                 |ScriptUtil                    |I|     beanshell
2016-05-05 23:21:25,237 |main                 |ScriptUtil                    |I|     bsh
2016-05-05 23:21:25,237 |main                 |ScriptUtil                    |I|     java
2016-05-05 23:21:25,238 |main                 |ScriptUtil                    |I| Engine name: Groovy Scripting Engine
2016-05-05 23:21:25,238 |main                 |ScriptUtil                    |I|   Version: 2.0
2016-05-05 23:21:25,238 |main                 |ScriptUtil                    |I|   Language: Groovy
2016-05-05 23:21:25,238 |main                 |ScriptUtil                    |I|   Engine supports the following extensions:
2016-05-05 23:21:25,238 |main                 |ScriptUtil                    |I|     groovy
2016-05-05 23:21:25,238 |main                 |ScriptUtil                    |I|   Engine has the following short names:
2016-05-05 23:21:25,238 |main                 |ScriptUtil                    |I|     groovy
2016-05-05 23:21:25,238 |main                 |ScriptUtil                    |I|     Groovy
2016-05-05 23:21:25,741 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [1213] milliseconds
2016-05-05 23:21:25,801 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:25,801 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:25,802 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:25,802 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:25,802 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:25,802 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:25,802 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:25,803 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:25,803 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:25,803 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:26,042 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:26,069 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [26] milliseconds
2016-05-05 23:21:26,071 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:26,087 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [16] milliseconds
2016-05-05 23:21:26,112 |main                 |EntitySaxReader               |I| Finished 182 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/ContentTypeData.xml
2016-05-05 23:21:26,112 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/ContentOperationData.xml
2016-05-05 23:21:26,112 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:26,387 |main                 |EntitySaxReader               |I| Finished 98 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/ContentOperationData.xml
2016-05-05 23:21:26,387 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/MimeTypeData.xml
2016-05-05 23:21:26,387 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:26,613 |main                 |EntitySaxReader               |I| Finished 108 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/MimeTypeData.xml
2016-05-05 23:21:26,614 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/MimeTypeTemplate.xml
2016-05-05 23:21:26,614 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:26,650 |main                 |EntitySaxReader               |I| Finished 9 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/MimeTypeTemplate.xml
2016-05-05 23:21:26,650 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/DataCategoryData.xml
2016-05-05 23:21:26,651 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:26,701 |main                 |EntitySaxReader               |I| Finished 17 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/DataCategoryData.xml
2016-05-05 23:21:26,701 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/BlogSeedData.xml
